scale,selectivity,complexity,query,method,latency_ms,rows,safe_by_rule,error
0.06,0.025,2,q13_order_lineitem_rows,view_barrier,0.7323,145,1,
0.06,0.025,2,q13_order_lineitem_rows,oblivious_forced,0.4879,145,1,
0.06,0.025,2,q13_order_lineitem_rows,predicate_injection,0.4133,145,1,
0.06,0.025,2,q13_order_lineitem_rows,pcqv_no_stats,0.3848,145,1,
0.06,0.025,2,q13_order_lineitem_rows,pcqv_forced,0.3951,145,1,
0.06,0.025,2,q13_order_lineitem_rows,pcqv,0.4252,145,1,
0.06,0.025,2,q13_order_lineitem_rows,oracle_order,0.4036,145,1,
0.06,0.025,2,q14_support_owner_rows,no_policy,0.6216,300,0,
0.06,0.025,2,q14_support_owner_rows,post_join_filter,0.0984,0,1,
0.06,0.025,2,q14_support_owner_rows,view_barrier,0.0265,0,1,
0.06,0.025,2,q14_support_owner_rows,oblivious_forced,0.0748,0,1,
0.06,0.025,2,q14_support_owner_rows,predicate_injection,0.0202,0,1,
0.06,0.025,2,q14_support_owner_rows,pcqv_no_stats,0.0153,0,1,
0.06,0.025,2,q14_support_owner_rows,pcqv_forced,0.014,0,1,
0.06,0.025,2,q14_support_owner_rows,pcqv,0.0183,0,1,
0.06,0.025,2,q14_support_owner_rows,oracle_order,0.024,0,1,
0.06,0.025,2,q15_clearance_product_rows,no_policy,3.4979,102,0,
0.06,0.025,2,q15_clearance_product_rows,post_join_filter,0.1431,4,1,
0.06,0.025,2,q15_clearance_product_rows,view_barrier,0.6802,4,1,
0.06,0.025,2,q15_clearance_product_rows,oblivious_forced,0.1789,4,1,
0.06,0.025,2,q15_clearance_product_rows,predicate_injection,0.3016,4,1,
0.06,0.025,2,q15_clearance_product_rows,pcqv_no_stats,0.1819,4,1,
0.06,0.025,2,q15_clearance_product_rows,pcqv_forced,0.1232,4,1,
0.06,0.025,2,q15_clearance_product_rows,pcqv,0.3371,4,1,
0.06,0.025,2,q15_clearance_product_rows,oracle_order,0.1361,4,1,
0.06,0.025,2,q16_region_product_mix,no_policy,21.4556,72,0,
0.06,0.025,2,q16_region_product_mix,post_join_filter,0.0438,0,1,
0.06,0.025,2,q16_region_product_mix,view_barrier,0.0251,0,1,
0.06,0.025,2,q16_region_product_mix,oblivious_forced,0.016,0,1,
0.06,0.025,2,q16_region_product_mix,predicate_injection,0.033,0,1,
0.06,0.025,2,q16_region_product_mix,pcqv_no_stats,0.0149,0,1,
0.06,0.025,2,q16_region_product_mix,pcqv_forced,0.0227,0,1,
0.06,0.025,2,q16_region_product_mix,pcqv,0.0176,0,1,
0.06,0.025,2,q16_region_product_mix,oracle_order,0.0185,0,1,
0.06,0.025,3,q1_customer_orders,no_policy,2.9469,250,0,
0.06,0.025,3,q1_customer_orders,post_join_filter,0.1145,0,1,
0.06,0.025,3,q1_customer_orders,view_barrier,0.0188,0,1,
0.06,0.025,3,q1_customer_orders,oblivious_forced,0.1056,0,1,
0.06,0.025,3,q1_customer_orders,predicate_injection,0.0204,0,1,
0.06,0.025,3,q1_customer_orders,pcqv_no_stats,0.0519,0,1,
0.06,0.025,3,q1_customer_orders,pcqv_forced,0.0186,0,1,
0.06,0.025,3,q1_customer_orders,pcqv,0.02,0,1,
0.06,0.025,3,q1_customer_orders,oracle_order,0.0178,0,1,
0.06,0.025,3,q2_revenue_by_product,no_policy,3.6184,16,0,
0.06,0.025,3,q2_revenue_by_product,post_join_filter,0.4288,0,1,
0.06,0.025,3,q2_revenue_by_product,view_barrier,0.0297,0,1,
0.06,0.025,3,q2_revenue_by_product,oblivious_forced,0.2195,0,1,
0.06,0.025,3,q2_revenue_by_product,predicate_injection,0.0179,0,1,
0.06,0.025,3,q2_revenue_by_product,pcqv_no_stats,0.0173,0,1,
0.06,0.025,3,q2_revenue_by_product,pcqv_forced,0.0237,0,1,
0.06,0.025,3,q2_revenue_by_product,pcqv,0.0479,0,1,
0.06,0.025,3,q2_revenue_by_product,oracle_order,0.0225,0,1,
0.06,0.025,3,q3_support_tickets,no_policy,1.7871,250,0,
0.06,0.025,3,q3_support_tickets,post_join_filter,0.0577,0,1,
0.06,0.025,3,q3_support_tickets,view_barrier,0.0773,0,1,
0.06,0.025,3,q3_support_tickets,oblivious_forced,0.3073,0,1,
0.06,0.025,3,q3_support_tickets,predicate_injection,0.0414,0,1,
0.06,0.025,3,q3_support_tickets,pcqv_no_stats,0.0478,0,1,
0.06,0.025,3,q3_support_tickets,pcqv_forced,0.1926,0,1,
0.06,0.025,3,q3_support_tickets,pcqv,0.0776,0,1,
0.06,0.025,3,q3_support_tickets,oracle_order,0.0245,0,1,
0.06,0.025,3,q4_revenue_by_region,no_policy,14.7477,8,0,
0.06,0.025,3,q4_revenue_by_region,post_join_filter,0.3318,0,1,
0.06,0.025,3,q4_revenue_by_region,view_barrier,0.0291,0,1,
0.06,0.025,3,q4_revenue_by_region,oblivious_forced,0.3251,0,1,
0.06,0.025,3,q4_revenue_by_region,predicate_injection,0.0275,0,1,
0.06,0.025,3,q4_revenue_by_region,pcqv_no_stats,0.0304,0,1,
0.06,0.025,3,q4_revenue_by_region,pcqv_forced,0.0226,0,1,
0.06,0.025,3,q4_revenue_by_region,pcqv,0.0165,0,1,
0.06,0.025,3,q4_revenue_by_region,oracle_order,0.0405,0,1,
0.06,0.025,3,q5_high_value_segments,no_policy,4.295,5,0,
0.06,0.025,3,q5_high_value_segments,post_join_filter,2.0021,0,1,
0.06,0.025,3,q5_high_value_segments,view_barrier,0.0605,0,1,
0.06,0.025,3,q5_high_value_segments,oblivious_forced,2.1078,0,1,
0.06,0.025,3,q5_high_value_segments,predicate_injection,0.2911,0,1,
0.06,0.025,3,q5_high_value_segments,pcqv_no_stats,0.0438,0,1,
0.06,0.025,3,q5_high_value_segments,pcqv_forced,0.0442,0,1,
0.06,0.025,3,q5_high_value_segments,pcqv,0.0184,0,1,
0.06,0.025,3,q5_high_value_segments,oracle_order,0.0204,0,1,
0.06,0.025,3,q6_lineitem_product_count,no_policy,11.1898,8,0,
