case,query,kind,tables,selectivity,complexity,method,declared_safe,equivalent,symmetric_difference_count,policy_violation_count,error
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_drop_tenant,0,0,25,15,
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_drop_purpose,0,0,21,11,
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_drop_clearance,0,0,4,2,
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_drop_region,0,0,20,20,
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_drop_cross_guard,0,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_drop_acl,0,1,0,0,
19,fz019,aggregate,tickets+customers+orders,0.1,3,mut_no_group_guard,0,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,post_join_filter,1,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,view_barrier,1,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,predicate_injection,1,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,pcqv_forced,1,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,pcqv,1,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,oracle_order,1,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,unsafe_late_aggregate,0,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_no_mask,0,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_drop_tenant,0,0,194,97,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_drop_purpose,0,0,284,142,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_drop_clearance,0,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_drop_region,0,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_drop_cross_guard,0,0,78,39,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_drop_acl,0,1,0,0,
20,fz020,rows,orders+lineitem+products,0.5,6,mut_no_group_guard,0,1,0,0,
21,fz021,rows,customers+orders,0.25,2,post_join_filter,1,1,0,0,
21,fz021,rows,customers+orders,0.25,2,view_barrier,1,1,0,0,
21,fz021,rows,customers+orders,0.25,2,predicate_injection,1,1,0,0,
21,fz021,rows,customers+orders,0.25,2,pcqv_forced,1,1,0,0,
21,fz021,rows,customers+orders,0.25,2,pcqv,1,1,0,0,
21,fz021,rows,customers+orders,0.25,2,oracle_order,1,1,0,0,
21,fz021,rows,customers+orders,0.25,2,unsafe_late_aggregate,0,1,0,0,
21,fz021,rows,customers+orders,0.25,2,mut_no_mask,0,0,400,200,
