selectivity,complexity,query,alias,table,estimated_policy_cardinality,actual_policy_cardinality,policy_q_error,estimated_without_policy,actual_without_policy,plain_q_error
0.25,6,q5_high_value_segments,o,orders,103.95,108,1.039,3500.0,3498,1.0006
0.25,6,q5_high_value_segments,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,6,q6_lineitem_product_count,l,lineitem,2112.0,2243,1.062,9600.0,9586,1.0015
0.25,6,q6_lineitem_product_count,p,products,30.705,48,1.5633,267.0,267,1.0
0.25,6,q6_lineitem_product_count,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,6,q6_lineitem_product_count,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,6,q7_customer_summary,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,6,q7_customer_summary,c,customers,17.952,36,2.0053,192.0,207,1.0781
0.25,6,q8_sensitive_product_scan,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,6,q8_sensitive_product_scan,p,products,28.29,51,1.8028,246.0,283,1.1504
0.25,6,q9_ticket_topic_segments,t,tickets,336.7,384,1.1405,2275.0,2288,1.0057
0.25,6,q9_ticket_topic_segments,c,customers,96.492,159,1.6478,1032.0,1168,1.1318
0.25,6,q10_acl_customer_rows,c,customers,83.028,70,1.1861,888.0,548,1.6204
0.25,6,q11_order_ticket_bridge,o,orders,46.035,90,1.955,1550.0,2515,1.6226
0.25,6,q11_order_ticket_bridge,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,6,q11_order_ticket_bridge,t,tickets,222.0,219,1.0137,1500.0,1468,1.0218
0.25,6,q12_product_segment_revenue,o,orders,148.5,152,1.0236,5000.0,5000,1.0
0.25,6,q12_product_segment_revenue,c,customers,67.32,101,1.5003,720.0,729,1.0125
0.25,6,q12_product_segment_revenue,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,6,q12_product_segment_revenue,p,products,31.74,54,1.7013,276.0,281,1.0181
0.25,6,q13_order_lineitem_rows,o,orders,83.16,93,1.1183,2800.0,2781,1.0068
0.25,6,q13_order_lineitem_rows,l,lineitem,1874.4,2198,1.1726,8520.0,9745,1.1438
0.25,6,q14_support_owner_rows,t,tickets,296.0,327,1.1047,2000.0,1993,1.0035
0.25,6,q14_support_owner_rows,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,6,q15_clearance_product_rows,p,products,11.73,17,1.4493,102.0,102,1.0
0.25,6,q15_clearance_product_rows,l,lineitem,2112.0,2181,1.0327,9600.0,9562,1.004
0.25,6,q16_region_product_mix,c,customers,112.2,159,1.4171,1200.0,1200,1.0
0.25,6,q16_region_product_mix,o,orders,111.375,115,1.0325,3750.0,3824,1.0197
0.25,6,q16_region_product_mix,l,lineitem,2640.0,2770,1.0492,12000.0,12000,1.0
0.25,6,q16_region_product_mix,p,products,28.98,54,1.8634,252.0,289,1.1468
