selectivity,complexity,query,method,compile_ms,sql_chars,iterations
0.025,3,q6_lineitem_product_count,pcqv_no_stats,0.187022,490,4
0.025,3,q6_lineitem_product_count,pcqv_forced,0.467708,490,4
0.025,3,q6_lineitem_product_count,pcqv,1.19498,490,4
0.025,3,q6_lineitem_product_count,oracle_order,5.10889,490,1
0.025,3,q7_customer_summary,post_join_filter,0.040361,708,4
0.025,3,q7_customer_summary,view_barrier,0.013414,411,4
0.025,3,q7_customer_summary,oblivious_forced,0.012059,327,4
0.025,3,q7_customer_summary,predicate_injection,0.010375,321,4
0.025,3,q7_customer_summary,pcqv_no_stats,0.022348,327,4
0.025,3,q7_customer_summary,pcqv_forced,0.036208,327,4
0.025,3,q7_customer_summary,pcqv,0.113559,327,4
0.025,3,q7_customer_summary,oracle_order,0.247777,327,1
0.025,3,q8_sensitive_product_scan,post_join_filter,0.030267,519,4
0.025,3,q8_sensitive_product_scan,view_barrier,0.01117,356,4
0.025,3,q8_sensitive_product_scan,oblivious_forced,0.010068,272,4
0.025,3,q8_sensitive_product_scan,predicate_injection,0.009279,266,4
0.025,3,q8_sensitive_product_scan,pcqv_no_stats,0.020601,272,4
0.025,3,q8_sensitive_product_scan,pcqv_forced,0.031301,272,4
0.025,3,q8_sensitive_product_scan,pcqv,0.099101,272,4
0.025,3,q8_sensitive_product_scan,oracle_order,0.207743,272,1
0.025,3,q9_ticket_topic_segments,post_join_filter,0.041266,738,4
0.025,3,q9_ticket_topic_segments,view_barrier,0.012937,433,4
0.025,3,q9_ticket_topic_segments,oblivious_forced,0.011816,349,4
0.025,3,q9_ticket_topic_segments,predicate_injection,0.010431,343,4
0.025,3,q9_ticket_topic_segments,pcqv_no_stats,0.022783,349,4
0.025,3,q9_ticket_topic_segments,pcqv_forced,0.035764,349,4
0.025,3,q9_ticket_topic_segments,pcqv,0.113808,349,4
0.025,3,q9_ticket_topic_segments,oracle_order,0.316559,349,1
0.025,3,q10_acl_customer_rows,post_join_filter,0.022235,404,4
0.025,3,q10_acl_customer_rows,view_barrier,0.008906,258,4
0.025,3,q10_acl_customer_rows,oblivious_forced,0.008523,211,4
0.025,3,q10_acl_customer_rows,predicate_injection,0.007145,211,4
0.025,3,q10_acl_customer_rows,pcqv_no_stats,0.011107,211,4
0.025,3,q10_acl_customer_rows,pcqv_forced,0.013864,211,4
0.025,3,q10_acl_customer_rows,pcqv,0.03607,211,4
0.025,3,q10_acl_customer_rows,oracle_order,0.109335,211,1
0.025,3,q11_order_ticket_bridge,post_join_filter,0.055092,1049,4
0.025,3,q11_order_ticket_bridge,view_barrier,0.016091,593,4
0.025,3,q11_order_ticket_bridge,oblivious_forced,0.015091,472,4
0.025,3,q11_order_ticket_bridge,predicate_injection,0.013284,460,4
0.025,3,q11_order_ticket_bridge,pcqv_no_stats,0.052646,472,4
0.025,3,q11_order_ticket_bridge,pcqv_forced,0.109688,472,4
0.025,3,q11_order_ticket_bridge,pcqv,0.229703,460,4
0.025,3,q11_order_ticket_bridge,oracle_order,0.821878,472,1
0.025,3,q12_product_segment_revenue,post_join_filter,0.061567,1137,4
0.025,3,q12_product_segment_revenue,view_barrier,0.019497,698,4
0.025,3,q12_product_segment_revenue,oblivious_forced,0.017592,540,4
0.025,3,q12_product_segment_revenue,predicate_injection,0.015722,522,4
0.025,3,q12_product_segment_revenue,pcqv_no_stats,0.184964,540,4
0.025,3,q12_product_segment_revenue,pcqv_forced,0.462062,540,4
0.025,3,q12_product_segment_revenue,pcqv,0.765158,522,4
0.025,3,q12_product_segment_revenue,oracle_order,2.731052,540,1
0.025,3,q13_order_lineitem_rows,post_join_filter,0.035434,641,4
0.025,3,q13_order_lineitem_rows,view_barrier,0.012046,406,4
0.025,3,q13_order_lineitem_rows,oblivious_forced,0.022462,322,4
0.025,3,q13_order_lineitem_rows,predicate_injection,0.010247,316,4
0.025,3,q13_order_lineitem_rows,pcqv_no_stats,0.021609,322,4
0.025,3,q13_order_lineitem_rows,pcqv_forced,0.031448,322,4
0.025,3,q13_order_lineitem_rows,pcqv,0.082013,316,4
0.025,3,q13_order_lineitem_rows,oracle_order,0.506351,322,1
0.025,3,q14_support_owner_rows,post_join_filter,0.037651,741,4
0.025,3,q14_support_owner_rows,view_barrier,0.013253,436,4
0.025,3,q14_support_owner_rows,oblivious_forced,0.011776,352,4
0.025,3,q14_support_owner_rows,predicate_injection,0.010796,346,4
0.025,3,q14_support_owner_rows,pcqv_no_stats,0.023529,352,4
0.025,3,q14_support_owner_rows,pcqv_forced,0.037373,352,4
0.025,3,q14_support_owner_rows,pcqv,0.113736,352,4
0.025,3,q14_support_owner_rows,oracle_order,0.304445,352,1
0.025,3,q15_clearance_product_rows,post_join_filter,0.036123,584,4
0.025,3,q15_clearance_product_rows,view_barrier,0.011863,421,4
0.025,3,q15_clearance_product_rows,oblivious_forced,0.018904,337,4
0.025,3,q15_clearance_product_rows,predicate_injection,0.009519,331,4
0.025,3,q15_clearance_product_rows,pcqv_no_stats,0.021655,337,4
0.025,3,q15_clearance_product_rows,pcqv_forced,0.032107,337,4
0.025,3,q15_clearance_product_rows,pcqv,0.097917,331,4
0.025,3,q15_clearance_product_rows,oracle_order,0.538365,337,1
0.025,3,q16_region_product_mix,post_join_filter,0.066693,1158,4
0.025,3,q16_region_product_mix,view_barrier,0.019966,719,4
0.025,3,q16_region_product_mix,oblivious_forced,0.017838,561,4
0.025,3,q16_region_product_mix,predicate_injection,0.016125,543,4
0.025,3,q16_region_product_mix,pcqv_no_stats,0.192187,561,4
0.025,3,q16_region_product_mix,pcqv_forced,0.514663,561,4
0.025,3,q16_region_product_mix,pcqv,0.762106,543,4
0.025,3,q16_region_product_mix,oracle_order,6.360518,561,1
0.025,6,q1_customer_orders,post_join_filter,0.054116,1094,4
0.025,6,q1_customer_orders,view_barrier,0.02261,817,4
0.025,6,q1_customer_orders,oblivious_forced,0.018758,696,4
0.025,6,q1_customer_orders,predicate_injection,0.020468,684,4
0.025,6,q1_customer_orders,pcqv_no_stats,0.057907,696,4
0.025,6,q1_customer_orders,pcqv_forced,0.137359,696,4
0.025,6,q1_customer_orders,pcqv,0.363107,696,4
0.025,6,q1_customer_orders,oracle_order,2.918812,696,1
0.025,6,q2_revenue_by_product,post_join_filter,0.065736,1099,4
0.025,6,q2_revenue_by_product,view_barrier,0.024507,823,4
0.025,6,q2_revenue_by_product,oblivious_forced,0.022557,702,4
0.025,6,q2_revenue_by_product,predicate_injection,0.014918,690,4
0.025,6,q2_revenue_by_product,pcqv_no_stats,0.06109,702,4
0.025,6,q2_revenue_by_product,pcqv_forced,0.129016,702,4
0.025,6,q2_revenue_by_product,pcqv,0.385238,702,4
0.025,6,q2_revenue_by_product,oracle_order,2.102088,702,1
0.025,6,q3_support_tickets,post_join_filter,0.04613,827,4
0.025,6,q3_support_tickets,view_barrier,0.020326,522,4
0.025,6,q3_support_tickets,oblivious_forced,0.013116,438,4
0.025,6,q3_support_tickets,predicate_injection,0.015455,432,4
0.025,6,q3_support_tickets,pcqv_no_stats,0.02557,438,4
0.025,6,q3_support_tickets,pcqv_forced,0.039274,438,4
0.025,6,q3_support_tickets,pcqv,0.114844,432,4
0.025,6,q3_support_tickets,oracle_order,0.403863,438,1
0.025,6,q4_revenue_by_region,post_join_filter,0.051266,1110,4
0.025,6,q4_revenue_by_region,view_barrier,0.027213,833,4
0.025,6,q4_revenue_by_region,oblivious_forced,0.016495,712,4
0.025,6,q4_revenue_by_region,predicate_injection,0.014852,700,4
0.025,6,q4_revenue_by_region,pcqv_no_stats,0.055456,712,4
0.025,6,q4_revenue_by_region,pcqv_forced,0.138071,712,4
0.025,6,q4_revenue_by_region,pcqv,0.39896,712,4
0.025,6,q4_revenue_by_region,oracle_order,2.146522,712,1
0.025,6,q5_high_value_segments,post_join_filter,0.047368,864,4
0.025,6,q5_high_value_segments,view_barrier,0.022154,610,4
0.025,6,q5_high_value_segments,oblivious_forced,0.027223,526,4
0.025,6,q5_high_value_segments,predicate_injection,0.012194,520,4
0.025,6,q5_high_value_segments,pcqv_no_stats,0.026434,526,4
0.025,6,q5_high_value_segments,pcqv_forced,0.048982,526,4
0.025,6,q5_high_value_segments,pcqv,0.117191,520,4
0.025,6,q5_high_value_segments,oracle_order,2.857231,526,1
0.025,6,q6_lineitem_product_count,post_join_filter,0.061308,1315,4
0.025,6,q6_lineitem_product_count,view_barrier,0.023082,959,4
0.025,6,q6_lineitem_product_count,oblivious_forced,0.020483,801,4
0.025,6,q6_lineitem_product_count,predicate_injection,0.023615,783,4
0.025,6,q6_lineitem_product_count,pcqv_no_stats,0.196533,801,4
0.025,6,q6_lineitem_product_count,pcqv_forced,0.573723,801,4
0.025,6,q6_lineitem_product_count,pcqv,1.479164,801,4
0.025,6,q6_lineitem_product_count,oracle_order,10.791024,801,1
0.025,6,q7_customer_summary,post_join_filter,0.045501,871,4
0.025,6,q7_customer_summary,view_barrier,0.016289,617,4
0.025,6,q7_customer_summary,oblivious_forced,0.014728,533,4
0.025,6,q7_customer_summary,predicate_injection,0.012591,527,4
0.025,6,q7_customer_summary,pcqv_no_stats,0.028318,533,4
0.025,6,q7_customer_summary,pcqv_forced,0.044006,533,4
0.025,6,q7_customer_summary,pcqv,0.110801,527,4
0.025,6,q7_customer_summary,oracle_order,0.377199,533,1
0.025,6,q8_sensitive_product_scan,post_join_filter,0.034439,647,4
0.025,6,q8_sensitive_product_scan,view_barrier,0.012478,482,4
0.025,6,q8_sensitive_product_scan,oblivious_forced,0.010905,398,4
0.025,6,q8_sensitive_product_scan,predicate_injection,0.012978,392,4
0.025,6,q8_sensitive_product_scan,pcqv_no_stats,0.022632,398,4
0.025,6,q8_sensitive_product_scan,pcqv_forced,0.034008,398,4
0.025,6,q8_sensitive_product_scan,pcqv,0.10715,398,4
0.025,6,q8_sensitive_product_scan,oracle_order,0.401128,398,1
0.025,6,q9_ticket_topic_segments,post_join_filter,0.046881,840,4
0.025,6,q9_ticket_topic_segments,view_barrier,0.014276,535,4
0.025,6,q9_ticket_topic_segments,oblivious_forced,0.012894,451,4
0.025,6,q9_ticket_topic_segments,predicate_injection,0.011527,445,4
0.025,6,q9_ticket_topic_segments,pcqv_no_stats,0.025523,451,4
0.025,6,q9_ticket_topic_segments,pcqv_forced,0.04016,451,4
0.025,6,q9_ticket_topic_segments,pcqv,0.124649,451,4
0.025,6,q9_ticket_topic_segments,oracle_order,0.61106,451,1
0.025,6,q10_acl_customer_rows,post_join_filter,0.030492,485,4
0.025,6,q10_acl_customer_rows,view_barrier,0.010761,339,4
0.025,6,q10_acl_customer_rows,oblivious_forced,0.009425,292,4
0.025,6,q10_acl_customer_rows,predicate_injection,0.012623,292,4
0.025,6,q10_acl_customer_rows,pcqv_no_stats,0.01303,292,4
0.025,6,q10_acl_customer_rows,pcqv_forced,0.015722,292,4
0.025,6,q10_acl_customer_rows,pcqv,0.051136,292,4
0.025,6,q10_acl_customer_rows,oracle_order,0.190937,292,1
0.025,6,q11_order_ticket_bridge,post_join_filter,0.07769,1212,4
0.025,6,q11_order_ticket_bridge,view_barrier,0.025416,799,4
0.025,6,q11_order_ticket_bridge,oblivious_forced,0.018223,678,4
0.025,6,q11_order_ticket_bridge,predicate_injection,0.019742,666,4
0.025,6,q11_order_ticket_bridge,pcqv_no_stats,0.069149,678,4
0.025,6,q11_order_ticket_bridge,pcqv_forced,0.153295,678,4
0.025,6,q11_order_ticket_bridge,pcqv,0.299381,666,4
0.025,6,q11_order_ticket_bridge,oracle_order,1.294468,678,1
0.025,6,q12_product_segment_revenue,post_join_filter,0.086679,1365,4
0.025,6,q12_product_segment_revenue,view_barrier,0.035958,1009,4
0.025,6,q12_product_segment_revenue,oblivious_forced,0.021342,851,4
0.025,6,q12_product_segment_revenue,predicate_injection,0.019504,833,4
0.025,6,q12_product_segment_revenue,pcqv_no_stats,0.21113,851,4
0.025,6,q12_product_segment_revenue,pcqv_forced,0.614371,851,4
0.025,6,q12_product_segment_revenue,pcqv,1.047742,833,4
0.025,6,q12_product_segment_revenue,oracle_order,8.346131,851,1
0.025,6,q13_order_lineitem_rows,post_join_filter,0.042978,812,4
0.025,6,q13_order_lineitem_rows,view_barrier,0.014699,615,4
0.025,6,q13_order_lineitem_rows,oblivious_forced,0.012465,531,4
0.025,6,q13_order_lineitem_rows,predicate_injection,0.011131,525,4
0.025,6,q13_order_lineitem_rows,pcqv_no_stats,0.024226,531,4
0.025,6,q13_order_lineitem_rows,pcqv_forced,0.037995,531,4
0.025,6,q13_order_lineitem_rows,pcqv,0.104271,525,4
0.025,6,q13_order_lineitem_rows,oracle_order,1.105772,531,1
0.025,6,q14_support_owner_rows,post_join_filter,0.041866,822,4
0.025,6,q14_support_owner_rows,view_barrier,0.018111,517,4
0.025,6,q14_support_owner_rows,oblivious_forced,0.013623,433,4
