benchmark,scale,context,query,method,latency_ms,rows,error
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,view_barrier,785.560152,5,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,raw_post_filter_control,33.587365,5,
tpch_ssb_like,1.0,medium,tpch_q10_customer_loss,unsafe_late_aggregate,36.994429,5,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,pcqv,12.273163,3,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,predicate_injection,5.41946,3,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,view_barrier,29.357616,3,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,raw_post_filter_control,16.365957,3,
tpch_ssb_like,1.0,medium,ssb_brand_revenue,unsafe_late_aggregate,15.004546,3,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,pcqv,5.117591,16,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,predicate_injection,4.161091,16,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,view_barrier,22.514443,16,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,raw_post_filter_control,18.636037,16,
tpch_ssb_like,1.0,medium,ssb_supplier_nation,unsafe_late_aggregate,16.325854,16,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,pcqv,6.467284,2,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,predicate_injection,5.529374,2,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,view_barrier,23.545315,2,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,raw_post_filter_control,7.457701,2,
tpch_ssb_like,1.0,broad,tpch_q3_revenue,unsafe_late_aggregate,5.888158,2,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,pcqv,14.543144,5,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,predicate_injection,16.970714,5,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,view_barrier,36.609569,5,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,raw_post_filter_control,14.589991,5,
tpch_ssb_like,1.0,broad,tpch_q5_region_supplier,unsafe_late_aggregate,12.426105,5,
tpch_ssb_like,1.0,broad,tpch_q6_discount,pcqv,7.702671,1,
tpch_ssb_like,1.0,broad,tpch_q6_discount,predicate_injection,8.083283,1,
tpch_ssb_like,1.0,broad,tpch_q6_discount,view_barrier,22.114547,1,
tpch_ssb_like,1.0,broad,tpch_q6_discount,raw_post_filter_control,9.657225,1,
tpch_ssb_like,1.0,broad,tpch_q6_discount,unsafe_late_aggregate,9.163398,1,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,pcqv,11.259598,5,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,predicate_injection,11.052722,5,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,view_barrier,2113.219047,5,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,raw_post_filter_control,30.728094,5,
tpch_ssb_like,1.0,broad,tpch_q10_customer_loss,unsafe_late_aggregate,31.448316,5,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,pcqv,14.124544,3,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,predicate_injection,9.334558,3,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,view_barrier,31.033262,3,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,raw_post_filter_control,15.894716,3,
tpch_ssb_like,1.0,broad,ssb_brand_revenue,unsafe_late_aggregate,15.357334,3,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,pcqv,8.242539,16,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,predicate_injection,8.13344,16,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,view_barrier,23.460449,16,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,raw_post_filter_control,16.08711,16,
tpch_ssb_like,1.0,broad,ssb_supplier_nation,unsafe_late_aggregate,15.650679,16,
