selectivity,complexity,query,method,safe_by_rule,rule_reason,equivalent_to_reference,policy_violation_count,symmetric_difference_count,reference_error,error
0.05,3,q1_customer_orders,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q1_customer_orders,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q1_customer_orders,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q1_customer_orders,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q1_customer_orders,unsafe_late_aggregate,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q2_revenue_by_product,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,16,18,,
0.05,3,q3_support_tickets,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q3_support_tickets,unsafe_late_aggregate,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,oracle_order,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q4_revenue_by_region,unsafe_late_aggregate,0,aggregate is evaluated before row policies,0,8,9,,
0.05,3,q5_high_value_segments,post_join_filter,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q5_high_value_segments,view_barrier,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q5_high_value_segments,oblivious_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q5_high_value_segments,predicate_injection,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q5_high_value_segments,pcqv_no_stats,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q5_high_value_segments,pcqv_forced,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
0.05,3,q5_high_value_segments,pcqv,1,candidate encodes the protected-view normal form under the rule side conditions,1,0,0,,
