aliases,case,exact_cost,greedy_cost,exact_orders,greedy_regret,exact_order,greedy_order
6,20,5679.587776288313,5679.587776288313,720,1.0,cbaedf,cbafed
6,21,13168.611692635282,13182.687900266435,720,1.0010689211558288,fcbaed,becfad
6,22,4103.307209571627,4154.879182324027,720,1.0125683918162647,fedbac,febdac
6,23,926.6953971878829,1033.9974352771053,720,1.1157899763124295,abcdef,fabced
6,24,4334.114659365089,4334.114659365089,720,1.0,edcbfa,edcbfa
6,25,2823.920708843442,2832.2084605716427,720,1.0029348386809327,aefcdb,aefbcd
6,26,6634.924164108939,8603.531731451574,720,1.2967038535258097,efdabc,bafedc
6,27,6538.635579841796,6544.763679476639,720,1.0009372138208368,baecdf,beadfc
6,28,10541.806296833027,10541.806296833027,720,1.0,dceafb,dcfeab
6,29,334.48583953469125,334.4858395346913,720,1.0000000000000002,abcdef,abefcd
7,0,490.21541883595273,511.99022626911443,5040,1.0444188546432656,gedcbaf,gbcdafe
7,1,2452.8070090188294,2452.8070090188294,5040,1.0,dabcfge,dfbcaeg
7,2,6797.887691711616,6797.945049313542,5040,1.0000084375624498,dabcefg,deabgcf
7,3,17665.427287432907,17685.78686842114,5040,1.0011525099651972,begcadf,begdfca
7,4,795.857555363757,795.9159487751494,5040,1.0000733716869292,fabcged,fdgcbae
7,5,5988.8833808698055,5988.8833808698055,5040,1.0,fabcdeg,fadebcg
7,6,3531.9062413877223,3534.2624172450537,5040,1.000667111666137,cadebfg,cdbgefa
7,7,1734.1471895535753,1738.7396449732535,5040,1.0026482500720486,dacfbeg,dgfcabe
7,8,12435.410814559893,19254.314697147,5040,1.5483456867064862,eabdcgf,egadcbf
7,9,1045.3157300979997,1045.3157300979997,5040,1.0,gebadcf,gebfcad
7,10,2302.711211871113,2302.7112118711134,5040,1.0000000000000002,facbdeg,facgbde
7,11,3125.637861841442,3138.331780963089,5040,1.0040612251587484,abdecfg,abgdefc
7,12,2344.406302287521,2367.854286048054,5040,1.0100016723797636,fdbcaeg,fgdeabc
7,13,1880.484018403893,1881.6674880781989,5040,1.0006293431173694,cbdeafg,cdefbga
7,14,1065.1857900987352,1066.6802187573671,5040,1.001402974647731,abcdgfe,adbcgfe
7,15,1229.8717852981467,1229.871785298147,5040,1.0000000000000002,bacedfg,bacegdf
7,16,782.8595224790762,785.4963497489485,5040,1.003368199778068,cbadfeg,cdgafeb
7,17,730.5347001882079,732.0350663381848,5040,1.002053791763198,cadbefg,cebafdg
7,18,5344.851032551343,5345.01285588909,5040,1.0000302764916666,dabgcef,dafcgeb
7,19,5250.125040053095,5271.4734398206165,5040,1.0040662650136243,afdcbeg,agefbdc
7,20,505.05145255180855,505.05145255180867,5040,1.0000000000000002,dcaegbf,degcabf
7,21,4216.347758646398,4219.159894874556,5040,1.0006669602198708,cabfedg,cbagfde
7,22,5025.318041598515,5313.014904889946,5040,1.0572494836963426,caedfgb,fgdaceb
7,23,3397.9576238509194,3397.95762385092,5040,1.0000000000000002,aebcgdf,aecbdfg
7,24,5019.135988801116,5019.135988801117,5040,1.0000000000000002,gbcdefa,gbceafd
7,25,18266.248983163605,18266.248983163605,5040,1.0,ebacdfg,edbcafg
7,26,11819.79494033577,11819.79494033577,5040,1.0,edabcfg,edfagbc
7,27,2413.878399754024,2413.878399754024,5040,1.0,gfbacde,gfcdeab
7,28,10447.44767459913,10534.183682326135,5040,1.0083021241578347,feacdgb,gafdebc
7,29,3619.5447432860606,3690.297518705603,5040,1.019547423899313,aebgdcf,agedcfb
8,0,3995.3203465929,3995.3203465929,40320,1.0,cabdfegh,caghbdfe
8,1,1487.123625202793,1498.2905461289902,40320,1.007509073715828,hdbacefg,habcfedg
8,2,9056.425359923753,9056.425359923755,40320,1.0000000000000002,dgahcbef,dgefbhca
8,3,1531.0903231726088,1531.090323172609,40320,1.0000000000000002,fbacdegh,fgbecahd
8,4,2852.2272341688563,2915.8389181509397,40320,1.0223024600635018,hdacefgb,heafbcdg
8,5,1366.9743121262898,1367.3839994873572,40320,1.0002997037745576,bgafedch,bhdegfca
8,6,2061.330243427879,2061.3302434278794,40320,1.0000000000000002,badcfehg,badhegfc
8,7,3389.319641778036,3390.5994162292895,40320,1.0003775903681313,eabhdfgc,eabhcfgd
8,8,3637.7474221541916,3637.7474221541916,40320,1.0,ecbafdgh,echgafdb
8,9,2795.8188325143315,2853.200329405847,40320,1.0205240397640183,fhcbaedg,fhbadgce
8,10,1898.740228536092,1898.7402285360924,40320,1.0000000000000002,cabfedgh,cdgafehb
8,11,1713.3597972715588,1713.3597972715588,40320,1.0,hgdbceaf,hgdeafcb
8,12,11568.665937219044,11587.560875747664,40320,1.0016332858629646,hfbcedag,cbhfdgea
8,13,1723.224511640905,1723.224511640905,40320,1.0,cabdefhg,chdbafeg
8,14,4357.9428228786655,4358.726988965684,40320,1.000179939507903,hgdabcef,hgdafcbe
8,15,16697.31410758457,18707.941920909107,40320,1.120416241820068,cebfadgh,cfebgdha
8,16,1814.6328506634304,1814.7491523695119,40320,1.0000640910397047,dcfeaghb,dceaghfb
8,17,1547.234482121138,1547.2344821211384,40320,1.0000000000000002,bacfdegh,baeghfcd
8,18,562.526366857096,562.526366857096,40320,1.0,fbacdghe,fbdchgae
8,19,4546.351350718828,4547.192223753812,40320,1.0001849555764868,fgedbach,fghabecd
8,20,1947.6078460501506,1947.6078460501508,40320,1.0000000000000002,cbaehdfg,cbheafgd
