selectivity,complexity,query,method,latency_ms,rows,error
0.05,6,q7_customer_summary,pcqv_forced,0.0844,0,
0.05,6,q7_customer_summary,pcqv,0.0816,0,
0.05,6,q7_customer_summary,oracle_order,0.0997,0,
0.05,6,q8_sensitive_product_scan,oblivious_forced,0.6923,4,
0.05,6,q8_sensitive_product_scan,pcqv_no_order,0.1813,4,
0.05,6,q8_sensitive_product_scan,pcqv_no_stats,0.1524,4,
0.05,6,q8_sensitive_product_scan,pcqv_greedy,0.1683,4,
0.05,6,q8_sensitive_product_scan,pcqv_forced,0.1711,4,
0.05,6,q8_sensitive_product_scan,pcqv,0.1174,4,
0.05,6,q8_sensitive_product_scan,oracle_order,0.1395,4,
0.05,6,q9_ticket_topic_segments,oblivious_forced,0.13,0,
0.05,6,q9_ticket_topic_segments,pcqv_no_order,0.0898,0,
0.05,6,q9_ticket_topic_segments,pcqv_no_stats,0.1048,0,
0.05,6,q9_ticket_topic_segments,pcqv_greedy,0.0734,0,
0.05,6,q9_ticket_topic_segments,pcqv_forced,0.0713,0,
0.05,6,q9_ticket_topic_segments,pcqv,0.0783,0,
0.05,6,q9_ticket_topic_segments,oracle_order,0.0892,0,
0.05,6,q10_acl_customer_rows,oblivious_forced,0.1413,2,
0.05,6,q10_acl_customer_rows,pcqv_no_order,0.0798,2,
0.05,6,q10_acl_customer_rows,pcqv_no_stats,0.1044,2,
0.05,6,q10_acl_customer_rows,pcqv_greedy,0.0696,2,
0.05,6,q10_acl_customer_rows,pcqv_forced,0.0936,2,
0.05,6,q10_acl_customer_rows,pcqv,0.0691,2,
0.05,6,q10_acl_customer_rows,oracle_order,0.0688,2,
0.05,6,q11_order_ticket_bridge,oblivious_forced,0.1234,0,
0.05,6,q11_order_ticket_bridge,pcqv_no_order,0.1862,0,
0.05,6,q11_order_ticket_bridge,pcqv_no_stats,0.1102,0,
0.05,6,q11_order_ticket_bridge,pcqv_greedy,0.1677,0,
0.05,6,q11_order_ticket_bridge,pcqv_forced,0.1307,0,
0.05,6,q11_order_ticket_bridge,pcqv,0.0798,0,
0.05,6,q11_order_ticket_bridge,oracle_order,0.3759,0,
0.05,6,q12_product_segment_revenue,oblivious_forced,0.1589,0,
0.05,6,q12_product_segment_revenue,pcqv_no_order,0.1263,0,
0.05,6,q12_product_segment_revenue,pcqv_no_stats,0.2796,0,
0.05,6,q12_product_segment_revenue,pcqv_greedy,0.1528,0,
0.05,6,q12_product_segment_revenue,pcqv_forced,0.4375,0,
0.05,6,q12_product_segment_revenue,pcqv,0.1906,0,
